name,obf
com.mojang.blaze3d.Blaze3D,ega
com.mojang.blaze3d.DontObfuscate,egb
com.mojang.blaze3d.FieldsAreNonnullByDefault,egc
com.mojang.blaze3d.MethodsReturnNonnullByDefault,egd
com.mojang.blaze3d.audio.Channel,ege
com.mojang.blaze3d.audio.Library,egf
com.mojang.blaze3d.audio.Library$1,egf$1
com.mojang.blaze3d.audio.Library$ChannelPool,egf$a
com.mojang.blaze3d.audio.Library$CountingChannelPool,egf$b
com.mojang.blaze3d.audio.Library$Pool,egf$c
com.mojang.blaze3d.audio.Listener,egg
com.mojang.blaze3d.audio.OggAudioStream,egh
com.mojang.blaze3d.audio.OggAudioStream$OutputConcat,egh$a
com.mojang.blaze3d.audio.OpenAlUtil,egi
com.mojang.blaze3d.audio.SoundBuffer,egj
com.mojang.blaze3d.audio.package-info,egk
com.mojang.blaze3d.font.GlyphInfo,egl
com.mojang.blaze3d.font.GlyphInfo$SpaceGlyphInfo,egl$a
com.mojang.blaze3d.font.GlyphProvider,egm
com.mojang.blaze3d.font.SheetGlyphInfo,egn
com.mojang.blaze3d.font.SpaceProvider,ego
com.mojang.blaze3d.font.SpaceProvider$Definition,ego$a
com.mojang.blaze3d.font.TrueTypeGlyphProvider,egp
com.mojang.blaze3d.font.TrueTypeGlyphProvider$Glyph,egp$a
com.mojang.blaze3d.font.TrueTypeGlyphProvider$Glyph$1,egp$a$1
com.mojang.blaze3d.font.package-info,egq
com.mojang.blaze3d.package-info,egr
com.mojang.blaze3d.pipeline.MainTarget,egs
com.mojang.blaze3d.pipeline.MainTarget$AttachmentState,egs$a
com.mojang.blaze3d.pipeline.MainTarget$Dimension,egs$b
com.mojang.blaze3d.pipeline.RenderCall,egt
com.mojang.blaze3d.pipeline.RenderPipeline,egu
com.mojang.blaze3d.pipeline.RenderTarget,egv
com.mojang.blaze3d.pipeline.TextureTarget,egw
com.mojang.blaze3d.pipeline.package-info,egx
com.mojang.blaze3d.platform.ClipboardManager,egy
com.mojang.blaze3d.platform.DebugMemoryUntracker,egz
com.mojang.blaze3d.platform.DisplayData,eha
com.mojang.blaze3d.platform.GLX,com.mojang.blaze3d.platform.GLX
com.mojang.blaze3d.platform.GlConst,com.mojang.blaze3d.platform.GlConst
com.mojang.blaze3d.platform.GlDebug,ehb
com.mojang.blaze3d.platform.GlDebug$LogEntry,ehb$a
com.mojang.blaze3d.platform.GlStateManager,com.mojang.blaze3d.platform.GlStateManager
com.mojang.blaze3d.platform.GlStateManager$BlendState,com.mojang.blaze3d.platform.GlStateManager$a
com.mojang.blaze3d.platform.GlStateManager$BooleanState,com.mojang.blaze3d.platform.GlStateManager$b
com.mojang.blaze3d.platform.GlStateManager$ColorLogicState,com.mojang.blaze3d.platform.GlStateManager$c
com.mojang.blaze3d.platform.GlStateManager$ColorMask,com.mojang.blaze3d.platform.GlStateManager$d
com.mojang.blaze3d.platform.GlStateManager$CullState,com.mojang.blaze3d.platform.GlStateManager$e
com.mojang.blaze3d.platform.GlStateManager$DepthState,com.mojang.blaze3d.platform.GlStateManager$f
com.mojang.blaze3d.platform.GlStateManager$DestFactor,com.mojang.blaze3d.platform.GlStateManager$DestFactor
com.mojang.blaze3d.platform.GlStateManager$LogicOp,com.mojang.blaze3d.platform.GlStateManager$g
com.mojang.blaze3d.platform.GlStateManager$PolygonOffsetState,com.mojang.blaze3d.platform.GlStateManager$h
com.mojang.blaze3d.platform.GlStateManager$ScissorState,com.mojang.blaze3d.platform.GlStateManager$i
com.mojang.blaze3d.platform.GlStateManager$SourceFactor,com.mojang.blaze3d.platform.GlStateManager$SourceFactor
com.mojang.blaze3d.platform.GlStateManager$StencilFunc,com.mojang.blaze3d.platform.GlStateManager$j
com.mojang.blaze3d.platform.GlStateManager$StencilState,com.mojang.blaze3d.platform.GlStateManager$k
com.mojang.blaze3d.platform.GlStateManager$TextureState,com.mojang.blaze3d.platform.GlStateManager$l
com.mojang.blaze3d.platform.GlStateManager$Viewport,com.mojang.blaze3d.platform.GlStateManager$m
com.mojang.blaze3d.platform.GlUtil,ehc
com.mojang.blaze3d.platform.IconSet,ehd
com.mojang.blaze3d.platform.InputConstants,ehe
com.mojang.blaze3d.platform.InputConstants$Key,ehe$a
com.mojang.blaze3d.platform.InputConstants$Type,ehe$b
com.mojang.blaze3d.platform.Lighting,ehf
com.mojang.blaze3d.platform.MacosUtil,ehg
com.mojang.blaze3d.platform.MemoryTracker,ehh
com.mojang.blaze3d.platform.Monitor,ehi
com.mojang.blaze3d.platform.MonitorCreator,ehj
com.mojang.blaze3d.platform.NativeImage,ehk
com.mojang.blaze3d.platform.NativeImage$Format,ehk$a
com.mojang.blaze3d.platform.NativeImage$InternalGlFormat,ehk$b
com.mojang.blaze3d.platform.NativeImage$WriteCallback,ehk$c
com.mojang.blaze3d.platform.ScreenManager,ehl
com.mojang.blaze3d.platform.TextureUtil,com.mojang.blaze3d.platform.TextureUtil
com.mojang.blaze3d.platform.VideoMode,ehm
com.mojang.blaze3d.platform.Window,ehn
com.mojang.blaze3d.platform.Window$WindowInitFailed,ehn$a
com.mojang.blaze3d.platform.WindowEventHandler,eho
com.mojang.blaze3d.platform.package-info,ehp
com.mojang.blaze3d.preprocessor.GlslPreprocessor,ehq
com.mojang.blaze3d.preprocessor.GlslPreprocessor$Context,ehq$a
com.mojang.blaze3d.preprocessor.package-info,ehr
com.mojang.blaze3d.shaders.AbstractUniform,ehs
com.mojang.blaze3d.shaders.BlendMode,eht
com.mojang.blaze3d.shaders.Effect,ehu
com.mojang.blaze3d.shaders.EffectProgram,ehv
com.mojang.blaze3d.shaders.EffectProgram$1,ehv$1
com.mojang.blaze3d.shaders.FogShape,ehw
com.mojang.blaze3d.shaders.Program,ehx
com.mojang.blaze3d.shaders.Program$Type,ehx$a
com.mojang.blaze3d.shaders.ProgramManager,ehy
com.mojang.blaze3d.shaders.Shader,ehz
com.mojang.blaze3d.shaders.Uniform,eia
com.mojang.blaze3d.shaders.package-info,eib
com.mojang.blaze3d.systems.RenderSystem,com.mojang.blaze3d.systems.RenderSystem
com.mojang.blaze3d.systems.RenderSystem$1,com.mojang.blaze3d.systems.RenderSystem$1
com.mojang.blaze3d.systems.RenderSystem$AutoStorageIndexBuffer,com.mojang.blaze3d.systems.RenderSystem$a
com.mojang.blaze3d.systems.RenderSystem$AutoStorageIndexBuffer$IndexGenerator,com.mojang.blaze3d.systems.RenderSystem$a$a
com.mojang.blaze3d.systems.TimerQuery,eic
com.mojang.blaze3d.systems.TimerQuery$FrameProfile,eic$a
com.mojang.blaze3d.systems.TimerQuery$TimerQueryLazyLoader,eic$b
com.mojang.blaze3d.systems.package-info,eid
com.mojang.blaze3d.vertex.BufferBuilder,eie
com.mojang.blaze3d.vertex.BufferBuilder$1,eie$1
com.mojang.blaze3d.vertex.BufferBuilder$DrawState,eie$a
com.mojang.blaze3d.vertex.BufferBuilder$RenderedBuffer,eie$b
com.mojang.blaze3d.vertex.BufferBuilder$SortState,eie$c
com.mojang.blaze3d.vertex.BufferUploader,eif
com.mojang.blaze3d.vertex.BufferVertexConsumer,eig
com.mojang.blaze3d.vertex.DefaultVertexFormat,eih
com.mojang.blaze3d.vertex.DefaultedVertexConsumer,eii
com.mojang.blaze3d.vertex.PoseStack,eij
com.mojang.blaze3d.vertex.PoseStack$Pose,eij$a
com.mojang.blaze3d.vertex.SheetedDecalTextureGenerator,eik
com.mojang.blaze3d.vertex.Tesselator,eil
com.mojang.blaze3d.vertex.VertexBuffer,eim
com.mojang.blaze3d.vertex.VertexBuffer$Usage,eim$a
com.mojang.blaze3d.vertex.VertexConsumer,ein
com.mojang.blaze3d.vertex.VertexFormat,eio
com.mojang.blaze3d.vertex.VertexFormat$1,eio$1
com.mojang.blaze3d.vertex.VertexFormat$IndexType,eio$a
com.mojang.blaze3d.vertex.VertexFormat$Mode,eio$b
com.mojang.blaze3d.vertex.VertexFormatElement,eip
com.mojang.blaze3d.vertex.VertexFormatElement$Type,eip$a
com.mojang.blaze3d.vertex.VertexFormatElement$Usage,eip$b
com.mojang.blaze3d.vertex.VertexFormatElement$Usage$ClearState,eip$b$a
com.mojang.blaze3d.vertex.VertexFormatElement$Usage$SetupState,eip$b$b
com.mojang.blaze3d.vertex.VertexMultiConsumer,eiq
com.mojang.blaze3d.vertex.VertexMultiConsumer$Double,eiq$a
com.mojang.blaze3d.vertex.VertexMultiConsumer$Multiple,eiq$b
com.mojang.blaze3d.vertex.VertexSorting,eir
com.mojang.blaze3d.vertex.VertexSorting$DistanceFunction,eir$a
com.mojang.blaze3d.vertex.package-info,eis
com.mojang.math.Axis,a
com.mojang.math.Constants,b
com.mojang.math.Divisor,c
com.mojang.math.FieldsAreNonnullByDefault,d
com.mojang.math.GivensParameters,e
com.mojang.math.MatrixUtil,f
com.mojang.math.MethodsReturnNonnullByDefault,g
com.mojang.math.OctahedralGroup,h
com.mojang.math.OctahedralGroup$1,h$1
com.mojang.math.SymmetricGroup3,i
com.mojang.math.Transformation,j
com.mojang.math.package-info,k
com.mojang.realmsclient.KeyCombo,eit
com.mojang.realmsclient.RealmsMainScreen,eiu
com.mojang.realmsclient.RealmsMainScreen$1,eiu$1
com.mojang.realmsclient.RealmsMainScreen$2,eiu$2
com.mojang.realmsclient.RealmsMainScreen$3,eiu$3
com.mojang.realmsclient.RealmsMainScreen$4,eiu$4
com.mojang.realmsclient.RealmsMainScreen$5,eiu$5
com.mojang.realmsclient.RealmsMainScreen$ButtonEntry,eiu$a
com.mojang.realmsclient.RealmsMainScreen$CloseButton,eiu$b
com.mojang.realmsclient.RealmsMainScreen$CrossButton,eiu$c
com.mojang.realmsclient.RealmsMainScreen$Entry,eiu$d
com.mojang.realmsclient.RealmsMainScreen$NewsButton,eiu$e
com.mojang.realmsclient.RealmsMainScreen$NotificationMessageEntry,eiu$f
com.mojang.realmsclient.RealmsMainScreen$PendingInvitesButton,eiu$g
com.mojang.realmsclient.RealmsMainScreen$RealmSelectionList,eiu$h
com.mojang.realmsclient.RealmsMainScreen$RealmsCall,eiu$i
com.mojang.realmsclient.RealmsMainScreen$ServerEntry,eiu$j
com.mojang.realmsclient.RealmsMainScreen$TrialEntry,eiu$k
com.mojang.realmsclient.Unit,eiv
com.mojang.realmsclient.client.FileDownload,eiw
com.mojang.realmsclient.client.FileDownload$DownloadCountingOutputStream,eiw$a
