owner,name,obf
com.mojang.blaze3d.audio.Channel,org.slf4j.Logger,LOGGER
com.mojang.blaze3d.audio.Channel,int,QUEUED_BUFFER_COUNT
com.mojang.blaze3d.audio.Channel,int,BUFFER_DURATION_SECONDS
com.mojang.blaze3d.audio.Channel,int,source
com.mojang.blaze3d.audio.Channel,java.util.concurrent.atomic.AtomicBoolean,initialized
com.mojang.blaze3d.audio.Channel,int,streamingBufferSize
com.mojang.blaze3d.audio.Channel,net.minecraft.client.sounds.AudioStream,stream
com.mojang.blaze3d.audio.Library,org.slf4j.Logger,LOGGER
com.mojang.blaze3d.audio.Library,int,NO_DEVICE
com.mojang.blaze3d.audio.Library,int,DEFAULT_CHANNEL_COUNT
com.mojang.blaze3d.audio.Library,long,currentDevice
com.mojang.blaze3d.audio.Library,long,context
com.mojang.blaze3d.audio.Library,boolean,supportsDisconnections
com.mojang.blaze3d.audio.Library,java.lang.String,defaultDeviceName
com.mojang.blaze3d.audio.Library,com.mojang.blaze3d.audio.Library$ChannelPool,EMPTY
com.mojang.blaze3d.audio.Library,com.mojang.blaze3d.audio.Library$ChannelPool,staticChannels
com.mojang.blaze3d.audio.Library,com.mojang.blaze3d.audio.Library$ChannelPool,streamingChannels
com.mojang.blaze3d.audio.Library,com.mojang.blaze3d.audio.Listener,listener
com.mojang.blaze3d.audio.Library$CountingChannelPool,int,limit
com.mojang.blaze3d.audio.Library$CountingChannelPool,java.util.Set,activeChannels
com.mojang.blaze3d.audio.Library$Pool,com.mojang.blaze3d.audio.Library$Pool,STATIC
com.mojang.blaze3d.audio.Library$Pool,com.mojang.blaze3d.audio.Library$Pool,STREAMING
com.mojang.blaze3d.audio.Library$Pool,com.mojang.blaze3d.audio.Library$Pool[],$VALUES
com.mojang.blaze3d.audio.Listener,float,gain
com.mojang.blaze3d.audio.Listener,net.minecraft.world.phys.Vec3,position
com.mojang.blaze3d.audio.OggAudioStream,int,EXPECTED_MAX_FRAME_SIZE
com.mojang.blaze3d.audio.OggAudioStream,long,handle
com.mojang.blaze3d.audio.OggAudioStream,javax.sound.sampled.AudioFormat,audioFormat
com.mojang.blaze3d.audio.OggAudioStream,java.io.InputStream,input
com.mojang.blaze3d.audio.OggAudioStream,java.nio.ByteBuffer,buffer
com.mojang.blaze3d.audio.OggAudioStream$OutputConcat,java.util.List,buffers
com.mojang.blaze3d.audio.OggAudioStream$OutputConcat,int,bufferSize
com.mojang.blaze3d.audio.OggAudioStream$OutputConcat,int,byteCount
com.mojang.blaze3d.audio.OggAudioStream$OutputConcat,java.nio.ByteBuffer,currentBuffer
com.mojang.blaze3d.audio.OpenAlUtil,org.slf4j.Logger,LOGGER
com.mojang.blaze3d.audio.SoundBuffer,java.nio.ByteBuffer,data
com.mojang.blaze3d.audio.SoundBuffer,javax.sound.sampled.AudioFormat,format
com.mojang.blaze3d.audio.SoundBuffer,boolean,hasAlBuffer
com.mojang.blaze3d.audio.SoundBuffer,int,alBuffer
com.mojang.blaze3d.font.SpaceProvider,it.unimi.dsi.fastutil.ints.Int2ObjectMap,glyphs
